,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,54.992,86.723,86.477,52.82,54.842,54.733,54.733,"[89.78260869565217, 85.24945770065077, 91.52173913043478, 86.30434782608695, 79.17570498915401, 91.95652173913044, 82.68398268398268, 90.65217391304348, 86.82505399568035, 83.08026030368764]","[65.38461538461539, 41.1764705882353, 55.76923076923077, 51.92307692307692, 50.98039215686274, 69.23076923076923, 54.0, 59.61538461538461, 46.93877551020408, 54.90196078431372]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,54.334,86.877,86.375,52.98,54.727,54.597,54.597,"[95.0, 77.65726681127983, 90.65217391304348, 89.56521739130434, 85.24945770065077, 94.78260869565217, 81.38528138528139, 85.65217391304348, 85.7451403887689, 83.08026030368764]","[71.15384615384616, 31.372549019607842, 69.23076923076923, 59.61538461538461, 45.09803921568628, 69.23076923076923, 48.0, 50.0, 40.816326530612244, 58.8235294117647]"
