,mean_test_acc,all_accs
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.6184296250343323,"[0.75, 0.3921568691730499, 0.807692289352417, 0.6538461446762085, 0.7254902124404907, 0.4615384638309479, 0.5400000214576721, 0.692307710647583, 0.6122449040412903, 0.5490196347236633]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.534732323884964,"[0.5, 0.29411765933036804, 0.7307692170143127, 0.5384615659713745, 0.7058823704719543, 0.5, 0.5199999809265137, 0.557692289352417, 0.5102040767669678, 0.4901960790157318]"
