,final_val_accuracy,final_val_f1,val_prec,val_rec,val_roc_auc,full_valacc,full_acc_classes
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.504,0.491,0.503,0.503,0.503,"[0.46153846153846156, 0.6078431372549019, 0.4423076923076923, 0.6923076923076923, 0.43137254901960786, 0.5384615384615384, 0.56, 0.28846153846153844, 0.42857142857142855, 0.5882352941176471]","[array([0.65384615, 0.26923077]), array([0.65384615, 0.56      ]), array([0.53846154, 0.34615385]), array([0.57692308, 0.80769231]), array([0.46153846, 0.4       ]), array([0.42307692, 0.65384615]), array([0.75      , 0.38461538]), array([0.26923077, 0.30769231]), array([0.13043478, 0.69230769]), array([0.38461538, 0.8       ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.497,0.489,0.498,0.497,0.497,"[0.4807692307692308, 0.6862745098039216, 0.5, 0.6923076923076923, 0.45098039215686275, 0.5192307692307693, 0.38, 0.40384615384615385, 0.4489795918367347, 0.4117647058823529]","[array([0.61538462, 0.34615385]), array([0.84615385, 0.52      ]), array([0.57692308, 0.42307692]), array([0.53846154, 0.84615385]), array([0.5, 0.4]), array([0.38461538, 0.65384615]), array([0.20833333, 0.53846154]), array([0.46153846, 0.34615385]), array([0.43478261, 0.46153846]), array([0.23076923, 0.6       ])]"
