,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.572,0.842,0.839,0.549,0.57,0.564,0.0,"[0.8913043478260869, 0.8199566160520607, 0.8282608695652174, 0.8565217391304348, 0.7505422993492408, 0.8043478260869565, 0.8376623376623377, 0.9282608695652174, 0.8423326133909287, 0.8633405639913232]","[0.5769230769230769, 0.5490196078431373, 0.5, 0.6923076923076923, 0.5490196078431373, 0.5384615384615384, 0.48, 0.6346153846153846, 0.6122448979591837, 0.5882352941176471]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.541,0.805,0.8,0.527,0.546,0.543,0.0,"[0.8260869565217391, 0.8091106290672451, 0.7608695652173914, 0.8434782608695652, 0.7266811279826464, 0.7739130434782608, 0.7835497835497836, 0.7956521739130434, 0.8401727861771058, 0.8893709327548807]","[0.5384615384615384, 0.5294117647058824, 0.5, 0.7115384615384616, 0.5686274509803921, 0.5384615384615384, 0.44, 0.46153846153846156, 0.5306122448979592, 0.5882352941176471]"
