,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.606,0.762,0.757,0.589,0.601,0.599,0.0,"[0.7739130434782608, 0.7483731019522777, 0.7608695652173914, 0.7847826086956522, 0.7049891540130152, 0.7695652173913043, 0.7186147186147186, 0.8065217391304348, 0.7645788336933045, 0.7852494577006508]","[0.6538461538461539, 0.6862745098039216, 0.7115384615384616, 0.5769230769230769, 0.5294117647058824, 0.5576923076923077, 0.34, 0.75, 0.6122448979591837, 0.6470588235294118]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.596,0.762,0.756,0.575,0.599,0.589,0.0,"[0.758695652173913, 0.7396963123644251, 0.7608695652173914, 0.8021739130434783, 0.735357917570499, 0.7565217391304347, 0.7207792207792207, 0.7739130434782608, 0.7796976241900648, 0.789587852494577]","[0.6346153846153846, 0.6274509803921569, 0.6346153846153846, 0.6730769230769231, 0.6274509803921569, 0.5961538461538461, 0.44, 0.6923076923076923, 0.46938775510204084, 0.5686274509803921]"
