,final_val_accuracy,final_val_f1,val_prec,val_rec,val_roc_auc,full_valacc,full_acc_classes
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws500.pkl",0.547,0.527,0.528,0.545,0.545,"[0.46153846153846156, 0.7647058823529411, 0.5192307692307693, 0.6923076923076923, 0.47058823529411764, 0.40384615384615385, 0.52, 0.5576923076923077, 0.6326530612244898, 0.45098039215686275]","[array([0.53846154, 0.38461538]), array([0.84615385, 0.68      ]), array([0.53846154, 0.5       ]), array([0.76923077, 0.61538462]), array([0.92307692, 0.        ]), array([0.34615385, 0.46153846]), array([0.54166667, 0.5       ]), array([0.73076923, 0.38461538]), array([0.39130435, 0.84615385]), array([0.46153846, 0.44      ])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet_leftA_rightA\X01_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws500.pkl",0.52,0.495,0.497,0.518,0.518,"[0.4423076923076923, 0.6470588235294118, 0.40384615384615385, 0.5576923076923077, 0.5098039215686274, 0.5, 0.58, 0.5769230769230769, 0.5510204081632653, 0.43137254901960786]","[array([0.5       , 0.38461538]), array([0.84615385, 0.44      ]), array([0.53846154, 0.26923077]), array([0.5       , 0.61538462]), array([1., 0.]), array([0.30769231, 0.69230769]), array([0.5       , 0.65384615]), array([0.73076923, 0.42307692]), array([0.43478261, 0.65384615]), array([0.38461538, 0.48      ])]"
