,mean_test_acc,all_accs
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.7730769217014313,"[0.6730769276618958, 0.7115384340286255, 0.6346153616905212, 0.6730769276618958, 0.9230769276618958, 0.942307710647583, 0.692307710647583, 0.7692307829856873, 0.9615384340286255, 0.75]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.7634615361690521,"[0.7307692170143127, 0.807692289352417, 0.6538461446762085, 0.6346153616905212, 0.8461538553237915, 0.8653846383094788, 0.7307692170143127, 0.9230769276618958, 0.8461538553237915, 0.5961538553237915]"
