,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.788,0.933,0.93,0.773,0.806,0.783,0.0,"[0.9166666666666666, 0.9465811965811965, 0.9188034188034188, 0.9508547008547008, 0.9487179487179487, 0.9188034188034188, 0.9145299145299145, 0.9209401709401709, 0.9508547008547008, 0.9423076923076923]","[0.7307692307692307, 0.9038461538461539, 0.5576923076923077, 0.7692307692307693, 0.9423076923076923, 0.8461538461538461, 0.7692307692307693, 0.8461538461538461, 0.8846153846153846, 0.6346153846153846]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.788,0.929,0.926,0.777,0.811,0.788,0.0,"[0.9145299145299145, 0.938034188034188, 0.8995726495726496, 0.9230769230769231, 0.9615384615384616, 0.9166666666666666, 0.8846153846153846, 0.9423076923076923, 0.9594017094017094, 0.9487179487179487]","[0.75, 0.8846153846153846, 0.5576923076923077, 0.7307692307692307, 0.9423076923076923, 0.8653846153846154, 0.7692307692307693, 0.8461538461538461, 0.8846153846153846, 0.6538461538461539]"
