,final_val_accuracy,final_val_f1,val_prec,val_rec,val_roc_auc,full_valacc,full_acc_classes
"crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws500.pkl",0.762,0.745,0.806,0.762,0.762,"[0.7115384615384616, 0.8653846153846154, 0.5961538461538461, 0.6538461538461539, 0.8076923076923077, 0.9230769230769231, 0.6538461538461539, 0.9807692307692307, 0.8076923076923077, 0.6153846153846154]","[array([0.46153846, 0.96153846]), array([0.96153846, 0.76923077]), array([0.46153846, 0.73076923]), array([0.30769231, 1.        ]), array([0.76923077, 0.84615385]), array([0.88461538, 0.96153846]), array([0.42307692, 0.88461538]), array([1.        , 0.96153846]), array([0.80769231, 0.80769231]), array([1.        , 0.23076923])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws500.pkl",0.737,0.723,0.776,0.737,0.737,"[0.7115384615384616, 0.75, 0.5961538461538461, 0.6538461538461539, 0.6153846153846154, 1.0, 0.6538461538461539, 0.9230769230769231, 0.7884615384615384, 0.6730769230769231]","[array([0.5       , 0.92307692]), array([1. , 0.5]), array([0.46153846, 0.73076923]), array([0.42307692, 0.88461538]), array([0.76923077, 0.46153846]), array([1., 1.]), array([0.38461538, 0.92307692]), array([1.        , 0.84615385]), array([0.84615385, 0.73076923]), array([1.        , 0.34615385])]"
