,final_val_accuracy,final_val_f1,val_prec,val_rec,val_roc_auc,full_valacc,full_acc_classes
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.763,0.745,0.817,0.763,0.763,"[0.7115384615384616, 0.7692307692307693, 0.6538461538461539, 0.6538461538461539, 0.8461538461538461, 0.9038461538461539, 0.7115384615384616, 0.9423076923076923, 0.8653846153846154, 0.5769230769230769]","[array([0.5       , 0.92307692]), array([0.88461538, 0.65384615]), array([0.57692308, 0.73076923]), array([0.30769231, 1.        ]), array([0.76923077, 0.92307692]), array([1.        , 0.80769231]), array([0.42307692, 1.        ]), array([0.88461538, 1.        ]), array([0.84615385, 0.88461538]), array([1.        , 0.15384615])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.754,0.735,0.809,0.754,0.754,"[0.7115384615384616, 0.7692307692307693, 0.5961538461538461, 0.6538461538461539, 0.8461538461538461, 0.8653846153846154, 0.7115384615384616, 0.9423076923076923, 0.8653846153846154, 0.5769230769230769]","[array([0.5       , 0.92307692]), array([0.88461538, 0.65384615]), array([0.53846154, 0.65384615]), array([0.30769231, 1.        ]), array([0.76923077, 0.92307692]), array([1.        , 0.73076923]), array([0.42307692, 1.        ]), array([0.88461538, 1.        ]), array([0.84615385, 0.88461538]), array([1.        , 0.15384615])]"
