,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,78.269,93.739,93.556,76.381,80.12,77.622,77.622,"[95.2991452991453, 93.80341880341881, 90.5982905982906, 96.15384615384616, 98.07692307692308, 90.5982905982906, 91.66666666666667, 91.66666666666667, 95.2991452991453, 94.23076923076923]","[71.15384615384616, 82.6923076923077, 55.76923076923077, 78.84615384615384, 92.3076923076923, 90.38461538461539, 76.92307692307692, 80.76923076923077, 88.46153846153847, 65.38461538461539]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,76.923,92.735,92.46,75.302,78.507,76.466,76.466,"[91.88034188034187, 95.2991452991453, 91.88034188034187, 94.01709401709402, 92.52136752136752, 90.5982905982906, 92.09401709401709, 91.45299145299145, 94.23076923076923, 93.37606837606837]","[69.23076923076923, 84.61538461538461, 55.76923076923077, 76.92307692307692, 88.46153846153847, 82.6923076923077, 78.84615384615384, 75.0, 92.3076923076923, 65.38461538461539]"
