,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.742,0.854,0.85,0.739,0.763,0.746,0.0,"[0.8589743589743589, 0.8418803418803419, 0.8418803418803419, 0.8675213675213675, 0.8504273504273504, 0.8568376068376068, 0.8461538461538461, 0.8632478632478633, 0.8525641025641025, 0.8589743589743589]","[0.6923076923076923, 0.6346153846153846, 0.5769230769230769, 0.7692307692307693, 0.8846153846153846, 0.7884615384615384, 0.7307692307692307, 0.6923076923076923, 0.8653846153846154, 0.7884615384615384]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.737,0.847,0.843,0.719,0.749,0.729,0.0,"[0.8611111111111112, 0.844017094017094, 0.8290598290598291, 0.8632478632478633, 0.8482905982905983, 0.8482905982905983, 0.8461538461538461, 0.8568376068376068, 0.8461538461538461, 0.8311965811965812]","[0.6538461538461539, 0.6346153846153846, 0.5961538461538461, 0.7692307692307693, 0.8461538461538461, 0.7884615384615384, 0.7884615384615384, 0.6730769230769231, 0.8653846153846154, 0.75]"
