,mean,std,max,allaccs,subjectorder
X01,0.339,0.005,0.344,"[0.34408602150537637, 0.33405639913232105]","[2, 3]"
X02,0.346,0.025,0.372,"[0.3717948717948718, 0.3210412147505423]","[1, 3]"
