,final_val_accuracy,final_val_f1,val_prec,val_rec,full_valacc,full_acc_classes
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_ASR_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.571,0.514,0.64,0.571,"[0.46153846153846156, 0.6538461538461539, 0.46153846153846156, 0.6923076923076923, 0.5384615384615384, 0.5384615384615384, 0.6346153846153846, 0.46153846153846156, 0.6730769230769231, 0.5961538461538461]","[array([0.76923077, 0.15384615]), array([0.34615385, 0.96153846]), array([0.11538462, 0.80769231]), array([0.84615385, 0.53846154]), array([0.07692308, 1.        ]), array([1.        , 0.07692308]), array([0.65384615, 0.61538462]), array([0.15384615, 0.76923077]), array([0.46153846, 0.88461538]), array([0.19230769, 1.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_ASR_leftA_rightA\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.567,0.497,0.602,0.567,"[0.46153846153846156, 0.6346153846153846, 0.4423076923076923, 0.6538461538461539, 0.5, 0.5384615384615384, 0.6730769230769231, 0.5, 0.6730769230769231, 0.5961538461538461]","[array([0.76923077, 0.15384615]), array([0.30769231, 0.96153846]), array([0.11538462, 0.76923077]), array([0.84615385, 0.46153846]), array([0.07692308, 0.92307692]), array([1.        , 0.07692308]), array([0.73076923, 0.61538462]), array([1., 0.]), array([0.34615385, 1.        ]), array([0.19230769, 1.        ])]"
