,final_val_accuracy,final_val_f1,val_prec,val_rec,val_roc_auc,full_valacc,full_acc_classes
"crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_ASR_leftA_rightA\X02_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws500.pkl",0.669,0.65,0.703,0.669,0.0,"[0.5769230769230769, 0.5961538461538461, 0.3269230769230769, 0.5, 0.8269230769230769, 0.9615384615384616, 0.6346153846153846, 0.6346153846153846, 0.9807692307692307, 0.6538461538461539]","[array([0.53846154, 0.61538462]), array([1.        , 0.19230769]), array([0.11538462, 0.53846154]), array([0.38461538, 0.61538462]), array([0.88461538, 0.76923077]), array([0.92307692, 1.        ]), array([0.26923077, 1.        ]), array([0.5       , 0.76923077]), array([0.96153846, 1.        ]), array([0.84615385, 0.46153846])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet_ASR_leftA_rightA\X02_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws500.pkl",0.604,0.579,0.614,0.604,0.0,"[0.46153846153846156, 0.38461538461538464, 0.34615384615384615, 0.6538461538461539, 0.7115384615384616, 0.8653846153846154, 0.6346153846153846, 0.5384615384615384, 0.9230769230769231, 0.5192307692307693]","[array([0.69230769, 0.23076923]), array([0.61538462, 0.15384615]), array([0.15384615, 0.53846154]), array([0.73076923, 0.57692308]), array([0.73076923, 0.69230769]), array([0.73076923, 1.        ]), array([0.34615385, 0.92307692]), array([0.42307692, 0.65384615]), array([0.92307692, 0.92307692]), array([0.96153846, 0.07692308])]"
