,mean_test_acc,all_accs
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.5346153944730758,"[0.5641025900840759, 0.4871794879436493, 0.43589743971824646, 0.5897436141967773, 0.5512820482254028, 0.6666666865348816, 0.3076923191547394, 0.6282051205635071, 0.6153846383094788, 0.5]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.5243589788675308,"[0.5, 0.6666666865348816, 0.41025641560554504, 0.38461539149284363, 0.6794871687889099, 0.6153846383094788, 0.3205128312110901, 0.5769230723381042, 0.6538461446762085, 0.43589743971824646]"
