,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.536,0.777,0.769,0.501,0.529,0.533,0.0,"[0.7891737891737892, 0.8162393162393162, 0.7592592592592593, 0.7507122507122507, 0.7977207977207977, 0.7464387464387464, 0.7578347578347578, 0.8091168091168092, 0.8205128205128205, 0.7193732193732194]","[0.6025641025641025, 0.5769230769230769, 0.47435897435897434, 0.48717948717948717, 0.6282051282051282, 0.6025641025641025, 0.3717948717948718, 0.5897435897435898, 0.5641025641025641, 0.46153846153846156]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.531,0.788,0.781,0.489,0.511,0.524,0.0,"[0.8133903133903134, 0.8233618233618234, 0.7777777777777778, 0.8190883190883191, 0.7863247863247863, 0.7763532763532763, 0.7692307692307693, 0.7934472934472935, 0.8133903133903134, 0.7122507122507122]","[0.5641025641025641, 0.5897435897435898, 0.5128205128205128, 0.5, 0.6025641025641025, 0.5641025641025641, 0.3717948717948718, 0.5641025641025641, 0.5897435897435898, 0.44871794871794873]"
