,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.506,0.655,0.642,0.474,0.498,0.504,0.0,"[0.6410256410256411, 0.6752136752136753, 0.6481481481481481, 0.6723646723646723, 0.6809116809116809, 0.6438746438746439, 0.6396011396011396, 0.6723646723646723, 0.6410256410256411, 0.6339031339031339]","[0.4358974358974359, 0.5769230769230769, 0.41025641025641024, 0.5384615384615384, 0.6025641025641025, 0.6666666666666666, 0.4358974358974359, 0.46153846153846156, 0.5384615384615384, 0.3974358974358974]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.487,0.663,0.65,0.445,0.477,0.479,0.0,"[0.6809116809116809, 0.6866096866096866, 0.6424501424501424, 0.6695156695156695, 0.6396011396011396, 0.6752136752136753, 0.6851851851851852, 0.6467236467236467, 0.6495726495726496, 0.6552706552706553]","[0.44871794871794873, 0.5512820512820513, 0.3974358974358974, 0.47435897435897434, 0.6282051282051282, 0.6153846153846154, 0.4358974358974359, 0.46153846153846156, 0.5256410256410257, 0.3333333333333333]"
