,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.367,0.573,0.559,0.329,0.344,0.355,0.0,"[0.5606936416184971, 0.5743145743145743, 0.6083815028901735, 0.6098265895953757, 0.5252525252525253, 0.5765895953757225, 0.5525179856115108, 0.5852601156069365, 0.5847701149425287, 0.5541125541125541]","[0.3717948717948718, 0.42857142857142855, 0.46153846153846156, 0.358974358974359, 0.2857142857142857, 0.38461538461538464, 0.30666666666666664, 0.4230769230769231, 0.3783783783783784, 0.2727272727272727]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.36,0.564,0.549,0.34,0.369,0.371,0.0,"[0.5621387283236994, 0.5844155844155844, 0.5953757225433526, 0.5736994219653179, 0.5180375180375181, 0.5491329479768786, 0.5726618705035971, 0.5794797687861272, 0.5531609195402298, 0.5555555555555556]","[0.358974358974359, 0.36363636363636365, 0.46153846153846156, 0.358974358974359, 0.2987012987012987, 0.4358974358974359, 0.25333333333333335, 0.47435897435897434, 0.35135135135135137, 0.24675324675324675]"
