,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,42.544,72.261,71.149,40.052,42.876,41.768,0.0,"[79.76878612716763, 63.78066378066378, 80.63583815028902, 69.79768786127168, 68.1096681096681, 85.40462427745665, 62.73381294964029, 79.76878612716763, 67.38505747126437, 65.22366522366522]","[43.58974358974359, 35.064935064935064, 50.0, 42.30769230769231, 51.94805194805195, 52.56410256410256, 38.666666666666664, 43.58974358974359, 37.83783783783784, 29.87012987012987]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,39.417,69.227,68.19,37.071,38.512,39.59,0.0,"[64.16184971098266, 71.71717171717172, 77.89017341040463, 77.60115606936417, 69.11976911976912, 64.88439306358381, 63.16546762589928, 72.39884393063583, 62.78735632183908, 68.54256854256855]","[41.02564102564103, 35.064935064935064, 44.87179487179487, 47.43589743589744, 51.94805194805195, 38.46153846153846, 30.666666666666668, 39.743589743589745, 33.78378378378378, 31.16883116883117]"
