,final_val_accuracy,train_accuracy,train_f1,val_f1,val_prec,val_rec,val_roc_auc,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.427,0.693,0.68,0.397,0.426,0.426,0.0,"[0.7702312138728323, 0.6738816738816739, 0.7312138728323699, 0.6430635838150289, 0.658008658008658, 0.6430635838150289, 0.5985611510791367, 0.8627167630057804, 0.7126436781609196, 0.6320346320346321]","[0.3974358974358974, 0.45454545454545453, 0.5641025641025641, 0.5, 0.36363636363636365, 0.46153846153846156, 0.38666666666666666, 0.5128205128205128, 0.3783783783783784, 0.24675324675324675]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.39,0.683,0.674,0.371,0.388,0.396,0.0,"[0.7976878612716763, 0.6406926406926406, 0.7774566473988439, 0.6690751445086706, 0.6507936507936508, 0.5910404624277457, 0.5971223021582733, 0.75, 0.7198275862068966, 0.6320346320346321]","[0.358974358974359, 0.36363636363636365, 0.5897435897435898, 0.5128205128205128, 0.33766233766233766, 0.4358974358974359, 0.3333333333333333, 0.38461538461538464, 0.35135135135135137, 0.23376623376623376]"
