,mean_test_acc,all_accs
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.41573954522609713,"[0.5, 0.22077922523021698, 0.5512820482254028, 0.5641025900840759, 0.41558441519737244, 0.42307692766189575, 0.4266666769981384, 0.38461539149284363, 0.22972972691059113, 0.44155845046043396]"
crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.39269048869609835,"[0.43589743971824646, 0.3246753215789795, 0.3589743673801422, 0.5128205418586731, 0.4545454680919647, 0.38461539149284363, 0.4533333480358124, 0.41025641560554504, 0.18918919563293457, 0.4025973975658417]"
